"","x"
"1",0.0190477616484743
"2",-0.0395126140554931
"3",0.0166650875314693
"4",-0.00629759311584467
"5",0.103374622905101
"6",0.065641817855472
"7",-0.077513297168788
"8",-0.0490568210280417
"9",0.0154695238531242
"10",-0.0920161745844713
"11",-0.0125874439542887
"12",0.0469855249163142
"13",0.00910043969236115
"14",-0.13455845065195
"15",-0.0103041043840509
"16",-0.00250144570888893
"17",-0.0101191142269252
"18",-0.0458329473788616
"19",0.0325975457010945
"20",-0.0080762051505017
"21",-0.00650513668772526
"22",-0.0136568424346163
"23",-0.00402869409592384
"24",-0.11940665951046
"25",-0.0122454608152728
"26",0.0306151763368014
"27",0.0676256119781459
"28",0.0589897469130798
"29",0.0188343891386679
"30",-0.0688768145054384
"31",0.0723807729424339
"32",0.0787243419112415
"33",0.0299777396420893
"34",0.000108494838423932
"35",0.0694396352733494
"36",0.141097010726948
"37",0.071681795889687
"38",0.0317632902834216
"39",-0.0777568379633068
"40",0.148385438878706
"41",0.10769776396179
"42",-0.0624824942095503
"43",0.00249910250157431
"44",0.0486572011238217
"45",-0.00328199648079261
"46",-0.0430118579112067
"47",-0.0939411710314751
"48",0.0409171652794259
"49",-0.0917705241493544
"50",0.120250260991026
"51",0.0064294138551598
"52",0.0822056246299852
"53",0.00434091673593017
"54",-0.0723017892797114
"55",-0.0324888197102739
"56",-0.0673179308110432
"57",-0.0181777891276269
"58",0.0164027686967741
"59",0.10744640095805
"60",0.0141309720505127
"61",-0.0374270718357099
"62",0.0201468847497147
"63",0.0970851282120173
"64",-0.0815218885588926
"65",-0.0376012128316498
"66",-0.070312355355781
"67",-0.0178299023361705
"68",0.0823599255432821
"69",-0.0345610350556183
"70",-0.0748551348619579
"71",-0.0521077248502975
"72",0.0804489327584639
"73",0.162336715162112
"74",0.0698093397101408
"75",0.0394642133783312
"76",0.0697485328402276
"77",-0.084747151439693
"78",0.0751984976947325
"79",-0.0819907253635226
"80",0.0240009418307243
"81",0.0452532099603688
"82",-0.0400400721603839
"83",-0.0950938725347709
"84",-0.13008932534241
"85",0.0387287814046651
"86",0.0844862087032103
"87",0.00619128304406619
"88",-0.0132482879944326
"89",0.0198545116759569
"90",0.0141898498508221
"91",-0.030672054192446
"92",0.0158396921524803
"93",0.027102905224396
"94",0.0811078289407467
"95",0.062958974350928
"96",-0.0878831552977942
"97",0.0275013405280349
"98",-0.0496454683304441
"99",0.0168006696269003
"100",0.112124347567485
"101",-0.0688519092958755
"102",0.157402972056945
"103",0.0609020587123608
"104",-0.000905400403879187
"105",-0.0796438781593952
"106",0.0605778064943367
"107",0.0919306791128796
"108",0.00739548577990212
"109",-0.00986973512431074
"110",-0.00144354708368022
"111",-0.0522391272695225
"112",-0.094149886262244
"113",-0.0779909134865286
"114",-0.045292150057466
"115",-0.0341127527539657
"116",0.0634125790665345
"117",0.0706070456763124
"118",0.004257338687762
"119",-0.0947396493732695
"120",-0.00989040604794317
"121",0.0331228627759263
"122",0.0567321098408257
"123",-0.0155801269802734
"124",-0.0900943494598459
"125",0.0258533993120705
"126",0.10647541034853
"127",0.0307448756783282
"128",0.117795349735744
"129",-0.043075345554044
"130",-0.0612157848217567
"131",-0.0129666722611239
"132",0.047133621457198
"133",-0.0179418181884556
"134",0.0731782631661854
"135",0.0814557369187758
"136",-0.0276437929958033
"137",0.047422270127646
"138",0.11914253251856
"139",0.0162530680711509
"140",-0.0375854974306038
"141",0.08227689044672
"142",0.0393623001606852
"143",0.0132351947308179
"144",0.044627101475197
"145",-0.0657217965515688
"146",-0.115792547771545
"147",0.0798974091902151
"148",0.0421004098665192
"149",-0.0481230918089692
"150",-0.0411713585849199
"151",-0.0780721244694659
"152",-0.0341649811062866
"153",-0.0662136837317294
"154",-0.0205506417080849
"155",-0.0486360098767221
"156",0.0394999994375926
"157",-0.044320329872173
"158",-0.0555156959048037
"159",0.0268656212613851
"160",-0.0411212060176693
"161",0.0160492499231909
"162",-0.0378412161759176
"163",-0.137973702772073
"164",-0.0982742051244657
"165",0.0185411337896736
"166",0.00142110329859817
"167",-0.0117410042347892
"168",0.0927028888812721
"169",-0.00325039159957968
"170",-0.0586258104596565
"171",-0.0739933413567753
"172",-0.0851968402114961
"173",0.0298768060341879
"174",-0.0318254403311132
"175",0.0149757395173663
"176",0.0746851867099789
"177",0.0141387363140438
"178",-0.0920365552163341
"179",-0.035822183826297
"180",-0.0931798458278024
"181",0.0846505507985099
"182",-0.0232728549860689
"183",0.053101878788937
"184",0.140340897552514
"185",0.0588241110600238
"186",0.0670248674953362
"187",0.0316146257049665
"188",0.031846667321356
"189",0.0540372711780879
"190",-0.0973338477415697
"191",0.0258287659091787
"192",-0.0498675117704482
"193",0.0907498297060266
"194",-0.0673782293641127
"195",-0.00257945323622689
"196",0.0274837196622042
"197",-0.0261402261495676
"198",-0.032401516802671
"199",0.0815439191009704
"200",-0.0521307797519507
"201",-0.00805241842631056
"202",-0.0703161116978679
"203",-0.0210041788881549
"204",0.0649161502797609
"205",0.0525331004254225
"206",0.0136084181344507
"207",-0.10605531061222
"208",-0.0300744928510969
"209",-0.00989031163693632
"210",-0.0165098733130012
"211",0.0493669509119609
"212",-0.0746103817230405
"213",-0.0863347902597444
"214",-0.0134519737580258
"215",-0.113182186309467
"216",0.125988550969273
"217",0.0503505968720237
"218",0.184518662044933
"219",-0.0663805352371944
"220",-0.0305264965917345
"221",-0.00867313973040601
"222",0.0753221656617896
"223",-0.0429724378763999
"224",-0.0510187643689418
"225",-0.107375169097776
"226",0.126217032028898
"227",0.0794245055562961
"228",0.0393801629179111
"229",-0.0430008649673719
