ID,label
89,1.0
123,1.0
916,0.0
644,0.0
908,0.0
134,1.0
963,0.0
974,0.0
812,0.0
75,1.0
94,1.0
198,1.0
893,0.0
208,0.0
642,0.0
131,1.0
669,0.0
920,0.0
34,1.0
760,0.0
77,1.0
133,1.0
96,1.0
63,1.0
104,1.0
72,1.0
709,0.0
10,1.0
995,0.0
948,0.0
710,0.0
527,0.0
184,1.0
151,1.0
950,0.0
76,1.0
863,0.0
865,0.0
645,0.0
1,1.0
935,0.0
115,1.0
952,0.0
230,1.0
101,1.0
31,1.0
82,1.0
818,0.0
581,0.0
862,0.0
980,0.0
109,1.0
1000,0.0
170,1.0
222,1.0
651,0.0
181,1.0
684,0.0
524,0.0
671,0.0
180,1.0
65,1.0
660,0.0
580,0.0
147,1.0
145,1.0
868,0.0
958,0.0
79,1.0
241,1.0
557,0.0
136,1.0
854,0.0
754,0.0
719,0.0
186,1.0
137,1.0
160,1.0
27,1.0
113,1.0
931,0.0
521,0.0
997,0.0
2,1.0
182,1.0
235,1.0
803,0.0
138,0.0
127,1.0
25,1.0
61,1.0
168,1.0
250,1.0
655,0.0
993,0.0
185,1.0
199,1.0
26,1.0
505,0.0
66,1.0
214,1.0
159,1.0
253,1.0
988,0.0
190,1.0
95,1.0
753,0.0
86,1.0
129,1.0
257,1.0
510,0.0
243,1.0
202,0.0
618,0.0
24,1.0
215,1.0
852,0.0
652,0.0
9,1.0
219,1.0
200,1.0
231,1.0
93,1.0
648,0.0
40,0.0
596,0.0
174,1.0
702,0.0
616,0.0
255,1.0
922,0.0
132,1.0
22,1.0
60,1.0
6,1.0
105,1.0
670,0.0
822,0.0
4,1.0
81,1.0
735,0.0
56,1.0
110,1.0
188,1.0
691,0.0
226,1.0
206,1.0
823,0.0
534,0.0
12,1.0
176,1.0
622,0.0
940,0.0
575,0.0
392,0.0
29,1.0
815,0.0
693,0.0
819,0.0
156,1.0
529,0.0
232,1.0
658,0.0
286,0.0
858,0.0
124,1.0
20,1.0
678,0.0
118,1.0
88,1.0
914,0.0
167,1.0
193,1.0
679,0.0
955,0.0
936,0.0
711,0.0
544,0.0
37,1.0
122,1.0
998,0.0
85,1.0
587,0.0
91,1.0
813,0.0
796,0.0
552,0.0
191,1.0
116,1.0
14,1.0
864,0.0
888,0.0
828,0.0
87,1.0
917,0.0
13,0.0
90,0.0
247,1.0
21,1.0
657,0.0
224,1.0
7,1.0
984,0.0
152,1.0
574,0.0
252,1.0
567,0.0
850,0.0
708,0.0
55,1.0
211,1.0
779,0.0
507,0.0
140,1.0
528,0.0
825,0.0
70,1.0
217,1.0
50,1.0
804,0.0
328,0.0
915,0.0
258,1.0
256,1.0
225,1.0
203,1.0
666,0.0
776,0.0
237,1.0
51,0.0
740,0.0
46,1.0
720,0.0
28,1.0
204,1.0
32,1.0
221,1.0
884,0.0
882,0.0
196,1.0
126,1.0
144,1.0
751,0.0
39,1.0
834,0.0
16,1.0
154,1.0
937,0.0
244,1.0
802,0.0
52,1.0
960,0.0
71,1.0
92,1.0
697,0.0
227,1.0
260,1.0
78,1.0
949,0.0
254,1.0
559,0.0
249,1.0
585,0.0
207,1.0
773,0.0
238,1.0
121,1.0
877,0.0
30,1.0
114,1.0
3,1.0
229,1.0
590,0.0
41,0.0
212,1.0
705,0.0
536,0.0
141,1.0
187,1.0
976,0.0
45,1.0
259,1.0
662,0.0
639,0.0
765,0.0
175,0.0
80,1.0
172,1.0
223,1.0
149,1.0
896,0.0
42,1.0
166,1.0
703,0.0
390,0.0
251,1.0
607,0.0
112,1.0
157,1.0
139,1.0
197,1.0
173,1.0
8,1.0
608,0.0
216,1.0
177,1.0
130,1.0
609,0.0
102,1.0
209,1.0
111,1.0
736,0.0
99,1.0
142,1.0
228,1.0
730,0.0
695,0.0
992,0.0
194,1.0
625,0.0
59,1.0
68,1.0
